COUNTYFP,MODE_USAGE,STATE,Attribute,Value
6001,ALWAYS,California,NEVER,0.019
6001,ALWAYS,California,RARELY,0.008
6001,ALWAYS,California,SOMETIMES,0.055
6001,ALWAYS,California,FREQUENTLY,0.123
6001,ALWAYS,California,ALWAYS,0.795
6003,ALWAYS,California,NEVER,0.025
6003,ALWAYS,California,RARELY,0.085
6003,ALWAYS,California,SOMETIMES,0.088
6003,ALWAYS,California,FREQUENTLY,0.19
6003,ALWAYS,California,ALWAYS,0.612
6005,ALWAYS,California,NEVER,0.045
6005,ALWAYS,California,RARELY,0.013
6005,ALWAYS,California,SOMETIMES,0.099
6005,ALWAYS,California,FREQUENTLY,0.188
6005,ALWAYS,California,ALWAYS,0.655
6007,ALWAYS,California,NEVER,0.015
6007,ALWAYS,California,RARELY,0.043
6007,ALWAYS,California,SOMETIMES,0.111
6007,ALWAYS,California,FREQUENTLY,0.204
6007,ALWAYS,California,ALWAYS,0.626
6009,ALWAYS,California,NEVER,0.045
6009,ALWAYS,California,RARELY,0.019
6009,ALWAYS,California,SOMETIMES,0.098
6009,ALWAYS,California,FREQUENTLY,0.276
6009,ALWAYS,California,ALWAYS,0.562
6011,ALWAYS,California,NEVER,0.027
6011,ALWAYS,California,RARELY,0.031
6011,ALWAYS,California,SOMETIMES,0.092
6011,ALWAYS,California,FREQUENTLY,0.151
6011,ALWAYS,California,ALWAYS,0.7
6013,ALWAYS,California,NEVER,0.018
6013,ALWAYS,California,RARELY,0.016
6013,ALWAYS,California,SOMETIMES,0.039
6013,ALWAYS,California,FREQUENTLY,0.121
6013,ALWAYS,California,ALWAYS,0.806
6015,ALWAYS,California,NEVER,0.01
6015,ALWAYS,California,RARELY,0.135
6015,ALWAYS,California,SOMETIMES,0.112
6015,ALWAYS,California,FREQUENTLY,0.196
6015,ALWAYS,California,ALWAYS,0.547
6017,ALWAYS,California,NEVER,0.028
6017,ALWAYS,California,RARELY,0.042
6017,ALWAYS,California,SOMETIMES,0.072
6017,ALWAYS,California,FREQUENTLY,0.183
6017,ALWAYS,California,ALWAYS,0.675
6019,ALWAYS,California,NEVER,0.021
6019,ALWAYS,California,RARELY,0.022
6019,ALWAYS,California,SOMETIMES,0.059
6019,ALWAYS,California,FREQUENTLY,0.156
6019,ALWAYS,California,ALWAYS,0.741
6021,ALWAYS,California,NEVER,0.028
6021,ALWAYS,California,RARELY,0.026
6021,ALWAYS,California,SOMETIMES,0.146
6021,ALWAYS,California,FREQUENTLY,0.206
6021,ALWAYS,California,ALWAYS,0.594
6023,ALWAYS,California,NEVER,0.042
6023,ALWAYS,California,RARELY,0.006
6023,ALWAYS,California,SOMETIMES,0.018
6023,ALWAYS,California,FREQUENTLY,0.069
6023,ALWAYS,California,ALWAYS,0.865
6025,ALWAYS,California,NEVER,0.001
6025,ALWAYS,California,RARELY,0.005
6025,ALWAYS,California,SOMETIMES,0.03
6025,ALWAYS,California,FREQUENTLY,0.128
6025,ALWAYS,California,ALWAYS,0.836
6027,ALWAYS,California,NEVER,0.033
6027,ALWAYS,California,RARELY,0.011
6027,ALWAYS,California,SOMETIMES,0.008
6027,ALWAYS,California,FREQUENTLY,0.058
6027,ALWAYS,California,ALWAYS,0.889
6029,ALWAYS,California,NEVER,0.022
6029,ALWAYS,California,RARELY,0.028
6029,ALWAYS,California,SOMETIMES,0.105
6029,ALWAYS,California,FREQUENTLY,0.177
6029,ALWAYS,California,ALWAYS,0.668
6031,ALWAYS,California,NEVER,0.075
6031,ALWAYS,California,RARELY,0.016
6031,ALWAYS,California,SOMETIMES,0.049
6031,ALWAYS,California,FREQUENTLY,0.094
6031,ALWAYS,California,ALWAYS,0.766
6033,ALWAYS,California,NEVER,0.003
6033,ALWAYS,California,RARELY,0.004
6033,ALWAYS,California,SOMETIMES,0.007
6033,ALWAYS,California,FREQUENTLY,0.136
6033,ALWAYS,California,ALWAYS,0.849
6035,ALWAYS,California,NEVER,0.064
6035,ALWAYS,California,RARELY,0.068
6035,ALWAYS,California,SOMETIMES,0.162
6035,ALWAYS,California,FREQUENTLY,0.225
6035,ALWAYS,California,ALWAYS,0.482
6037,ALWAYS,California,NEVER,0.021
6037,ALWAYS,California,RARELY,0.013
6037,ALWAYS,California,SOMETIMES,0.049
6037,ALWAYS,California,FREQUENTLY,0.131
6037,ALWAYS,California,ALWAYS,0.786
6039,ALWAYS,California,NEVER,0.019
6039,ALWAYS,California,RARELY,0.059
6039,ALWAYS,California,SOMETIMES,0.048
6039,ALWAYS,California,FREQUENTLY,0.124
6039,ALWAYS,California,ALWAYS,0.751
6041,ALWAYS,California,NEVER,0.011
6041,ALWAYS,California,RARELY,0
