COUNTYFP,MODE_USAGE,STATE,Attribute,Value
6001,ALWAYS,California,FREQUENTLY,0.123
6001,ALWAYS,California,ALWAYS,0.795
6003,ALWAYS,California,FREQUENTLY,0.19
6003,ALWAYS,California,ALWAYS,0.612
6005,ALWAYS,California,FREQUENTLY,0.188
6005,ALWAYS,California,ALWAYS,0.655
6007,ALWAYS,California,FREQUENTLY,0.204
6007,ALWAYS,California,ALWAYS,0.626
6009,ALWAYS,California,FREQUENTLY,0.276
6009,ALWAYS,California,ALWAYS,0.562
6011,ALWAYS,California,FREQUENTLY,0.151
6011,ALWAYS,California,ALWAYS,0.7
6013,ALWAYS,California,FREQUENTLY,0.121
6013,ALWAYS,California,ALWAYS,0.806
6015,ALWAYS,California,FREQUENTLY,0.196
6015,ALWAYS,California,ALWAYS,0.547
6017,ALWAYS,California,FREQUENTLY,0.183
6017,ALWAYS,California,ALWAYS,0.675
6019,ALWAYS,California,FREQUENTLY,0.156
6019,ALWAYS,California,ALWAYS,0.741
6021,ALWAYS,California,FREQUENTLY,0.206
6021,ALWAYS,California,ALWAYS,0.594
6023,ALWAYS,California,FREQUENTLY,0.069
6023,ALWAYS,California,ALWAYS,0.865
6025,ALWAYS,California,FREQUENTLY,0.128
6025,ALWAYS,California,ALWAYS,0.836
6027,ALWAYS,California,FREQUENTLY,0.058
6027,ALWAYS,California,ALWAYS,0.889
6029,ALWAYS,California,FREQUENTLY,0.177
6029,ALWAYS,California,ALWAYS,0.668
6031,ALWAYS,California,FREQUENTLY,0.094
6031,ALWAYS,California,ALWAYS,0.766
6033,ALWAYS,California,FREQUENTLY,0.136
6033,ALWAYS,California,ALWAYS,0.849
6035,ALWAYS,California,FREQUENTLY,0.225
6035,ALWAYS,California,ALWAYS,0.482
6037,ALWAYS,California,FREQUENTLY,0.131
6037,ALWAYS,California,ALWAYS,0.786
6039,ALWAYS,California,FREQUENTLY,0.124
6039,ALWAYS,California,ALWAYS,0.751
6041,ALWAYS,California,FREQUENTLY,0.141
6041,ALWAYS,California,ALWAYS,0.802
6043,ALWAYS,California,FREQUENTLY,0.186
6043,ALWAYS,California,ALWAYS,0.661
6045,ALWAYS,California,FREQUENTLY,0.222
6045,ALWAYS,California,ALWAYS,0.77
6047,ALWAYS,California,FREQUENTLY,0.146
6047,ALWAYS,California,ALWAYS,0.703
6049,ALWAYS,California,FREQUENTLY,0.204
6049,ALWAYS,California,ALWAYS,0.615
6051,ALWAYS,California,FREQUENTLY,0.07
6051,ALWAYS,California,ALWAYS,0.88
6053,ALWAYS,California,FREQUENTLY,0.141
6053,ALWAYS,California,ALWAYS,0.763
6055,ALWAYS,California,FREQUENTLY,0.149
6055,ALWAYS,California,ALWAYS,0.773
6057,ALWAYS,California,FREQUENTLY,0.177
6057,ALWAYS,California,ALWAYS,0.682
6059,ALWAYS,California,FREQUENTLY,0.156
6059,ALWAYS,California,ALWAYS,0.754
6061,ALWAYS,California,FREQUENTLY,0.201
6061,ALWAYS,California,ALWAYS,0.693
6063,ALWAYS,California,FREQUENTLY,0.146
6063,ALWAYS,California,ALWAYS,0.671
6065,ALWAYS,California,FREQUENTLY,0.116
6065,ALWAYS,California,ALWAYS,0.803
6067,ALWAYS,California,FREQUENTLY,0.164
6067,ALWAYS,California,ALWAYS,0.722
6069,ALWAYS,California,FREQUENTLY,0.175
6069,ALWAYS,California,ALWAYS,0.739
6071,ALWAYS,California,FREQUENTLY,0.134
