COUNTYFP,MODE_USAGE,STATE,USAGE,RESPONSE
16001,ALWAYS,Idaho,NEVER,0.118
16001,ALWAYS,Idaho,RARELY,0.078
16001,ALWAYS,Idaho,SOMETIMES,0.084
16001,ALWAYS,Idaho,FREQUENTLY,0.194
16001,ALWAYS,Idaho,ALWAYS,0.526
16003,ALWAYS,Idaho,NEVER,0.094
16003,ALWAYS,Idaho,RARELY,0.216
16003,ALWAYS,Idaho,SOMETIMES,0.218
16003,ALWAYS,Idaho,FREQUENTLY,0.218
16003,ALWAYS,Idaho,ALWAYS,0.254
16005,ALWAYS,Idaho,NEVER,0.084
16005,ALWAYS,Idaho,RARELY,0.193
16005,ALWAYS,Idaho,SOMETIMES,0.176
16005,ALWAYS,Idaho,FREQUENTLY,0.195
16005,ALWAYS,Idaho,ALWAYS,0.352
16007,ALWAYS,Idaho,NEVER,0.151
16007,ALWAYS,Idaho,RARELY,0.12
16007,ALWAYS,Idaho,SOMETIMES,0.102
16007,ALWAYS,Idaho,FREQUENTLY,0.243
16007,ALWAYS,Idaho,ALWAYS,0.385
16009,ALWAYS,Idaho,NEVER,0.038
16009,ALWAYS,Idaho,RARELY,0.059
16009,ALWAYS,Idaho,SOMETIMES,0.15
16009,ALWAYS,Idaho,FREQUENTLY,0.152
16009,ALWAYS,Idaho,ALWAYS,0.601
16011,ALWAYS,Idaho,NEVER,0.095
16011,ALWAYS,Idaho,RARELY,0.197
16011,ALWAYS,Idaho,SOMETIMES,0.175
16011,ALWAYS,Idaho,FREQUENTLY,0.229
16011,ALWAYS,Idaho,ALWAYS,0.304
16013,ALWAYS,Idaho,NEVER,0.155
16013,ALWAYS,Idaho,RARELY,0.107
16013,ALWAYS,Idaho,SOMETIMES,0.102
16013,ALWAYS,Idaho,FREQUENTLY,0.13
16013,ALWAYS,Idaho,ALWAYS,0.506
16015,FREQUENTLY,Idaho,NEVER,0.057
16015,FREQUENTLY,Idaho,RARELY,0.038
16015,FREQUENTLY,Idaho,SOMETIMES,0.038
16015,FREQUENTLY,Idaho,FREQUENTLY,0.549
16015,FREQUENTLY,Idaho,ALWAYS,0.318
16017,ALWAYS,Idaho,NEVER,0.088
16017,ALWAYS,Idaho,RARELY,0.116
16017,ALWAYS,Idaho,SOMETIMES,0.119
16017,ALWAYS,Idaho,FREQUENTLY,0.241
16017,ALWAYS,Idaho,ALWAYS,0.436
16019,ALWAYS,Idaho,NEVER,0.096
16019,ALWAYS,Idaho,RARELY,0.202
16019,ALWAYS,Idaho,SOMETIMES,0.188
16019,ALWAYS,Idaho,FREQUENTLY,0.247
16019,ALWAYS,Idaho,ALWAYS,0.268
16021,ALWAYS,Idaho,NEVER,0.045
16021,ALWAYS,Idaho,RARELY,0.171
16021,ALWAYS,Idaho,SOMETIMES,0.061
16021,ALWAYS,Idaho,FREQUENTLY,0.185
16021,ALWAYS,Idaho,ALWAYS,0.537
