COUNTYFP,STATE,MODE_USAGE,MASK_FREQ,RESPONSE
9001,Connecticut,ALWAYS,NEVER,0.027
9001,Connecticut,ALWAYS,RARELY,0.019
9001,Connecticut,ALWAYS,SOMETIMES,0.06
9001,Connecticut,ALWAYS,FREQUENTLY,0.114
9001,Connecticut,ALWAYS,ALWAYS,0.78
9003,Connecticut,ALWAYS,NEVER,0.015
9003,Connecticut,ALWAYS,RARELY,0.023
9003,Connecticut,ALWAYS,SOMETIMES,0.065
9003,Connecticut,ALWAYS,FREQUENTLY,0.13
9003,Connecticut,ALWAYS,ALWAYS,0.767
9005,Connecticut,ALWAYS,NEVER,0.017
9005,Connecticut,ALWAYS,RARELY,0.051
9005,Connecticut,ALWAYS,SOMETIMES,0.021
9005,Connecticut,ALWAYS,FREQUENTLY,0.098
9005,Connecticut,ALWAYS,ALWAYS,0.812
9007,Connecticut,ALWAYS,NEVER,0.003
9007,Connecticut,ALWAYS,RARELY,0.007
9007,Connecticut,ALWAYS,SOMETIMES,0.055
9007,Connecticut,ALWAYS,FREQUENTLY,0.128
9007,Connecticut,ALWAYS,ALWAYS,0.807
9009,Connecticut,ALWAYS,NEVER,0.023
9009,Connecticut,ALWAYS,RARELY,0.014
9009,Connecticut,ALWAYS,SOMETIMES,0.053
9009,Connecticut,ALWAYS,FREQUENTLY,0.115
9009,Connecticut,ALWAYS,ALWAYS,0.795
9011,Connecticut,ALWAYS,NEVER,0.025
9011,Connecticut,ALWAYS,RARELY,0.021
9011,Connecticut,ALWAYS,SOMETIMES,0.066
9011,Connecticut,ALWAYS,FREQUENTLY,0.142
9011,Connecticut,ALWAYS,ALWAYS,0.747
9013,Connecticut,ALWAYS,NEVER,0.008
9013,Connecticut,ALWAYS,RARELY,0.008
9013,Connecticut,ALWAYS,SOMETIMES,0.027
9013,Connecticut,ALWAYS,FREQUENTLY,0.147
9013,Connecticut,ALWAYS,ALWAYS,0.81
9015,Connecticut,ALWAYS,NEVER,0.022
9015,Connecticut,ALWAYS,RARELY,0.041
9015,Connecticut,ALWAYS,SOMETIMES,0.082
