COUNTYFP,STATE,MODE_USAGE,MASK_FREQ,RESPONSE
29001,Missouri,ALWAYS,NEVER,0.067
29001,Missouri,ALWAYS,RARELY,0.098
29001,Missouri,ALWAYS,SOMETIMES,0.187
29001,Missouri,ALWAYS,FREQUENTLY,0.253
29001,Missouri,ALWAYS,ALWAYS,0.395
29003,Missouri,ALWAYS,NEVER,0.133
29003,Missouri,ALWAYS,RARELY,0.197
29003,Missouri,ALWAYS,SOMETIMES,0.164
29003,Missouri,ALWAYS,FREQUENTLY,0.234
29003,Missouri,ALWAYS,ALWAYS,0.272
29005,Missouri,ALWAYS,NEVER,0.09
29005,Missouri,ALWAYS,RARELY,0.144
29005,Missouri,ALWAYS,SOMETIMES,0.097
29005,Missouri,ALWAYS,FREQUENTLY,0.287
29005,Missouri,ALWAYS,ALWAYS,0.382
29007,Missouri,ALWAYS,NEVER,0.11
29007,Missouri,ALWAYS,RARELY,0.078
29007,Missouri,ALWAYS,SOMETIMES,0.203
29007,Missouri,ALWAYS,FREQUENTLY,0.281
29007,Missouri,ALWAYS,ALWAYS,0.327
29009,Missouri,ALWAYS,NEVER,0.106
29009,Missouri,ALWAYS,RARELY,0.06
29009,Missouri,ALWAYS,SOMETIMES,0.256
29009,Missouri,ALWAYS,FREQUENTLY,0.235
29009,Missouri,ALWAYS,ALWAYS,0.343
29011,Missouri,ALWAYS,NEVER,0.15
29011,Missouri,ALWAYS,RARELY,0.131
29011,Missouri,ALWAYS,SOMETIMES,0.134
29011,Missouri,ALWAYS,FREQUENTLY,0.111
29011,Missouri,ALWAYS,ALWAYS,0.474
29013,Missouri,ALWAYS,NEVER,0.138
29013,Missouri,ALWAYS,RARELY,0.068
29013,Missouri,ALWAYS,SOMETIMES,0.112
29013,Missouri,ALWAYS,FREQUENTLY,0.237
29013,Missouri,ALWAYS,ALWAYS,0.444
29015,Missouri,FREQUENTLY,NEVER,0.188
29015,Missouri,FREQUENTLY,RARELY,0.122
29015,Missouri,FREQUENTLY,SOMETIMES,0.168
29015,Missouri,FREQUENTLY,FREQUENTLY,0.277
29015,Missouri,FREQUENTLY,ALWAYS,0.245
29017,Missouri,ALWAYS,NEVER,0.097
29017,Missouri,ALWAYS,RARELY,0.152
29017,Missouri,ALWAYS,SOMETIMES,0.132
29017,Missouri,ALWAYS,FREQUENTLY,0.268
29017,Missouri,ALWAYS,ALWAYS,0.35
29019,Missouri,ALWAYS,NEVER,0.073
29019,Missouri,ALWAYS,RARELY,0.075
29019,Missouri,ALWAYS,SOMETIMES,0.113
29019,Missouri,ALWAYS,FREQUENTLY,0.224
29019,Missouri,ALWAYS,ALWAYS,0.515
29021,Missouri,ALWAYS,NEVER,0.121
29021,Missouri,ALWAYS,RARELY,0.183
29021,Missouri,ALWAYS,SOMETIMES,0.175
29021,Missouri,ALWAYS,FREQUENTLY,0.219
29021,Missouri,ALWAYS,ALWAYS,0.302
29023,Missouri,ALWAYS,NEVER,0.189
29023,Missouri,ALWAYS,RARELY,0.175
29023,Missouri,ALWAYS,SOMETIMES,0.16
29023,Missouri,ALWAYS,FREQUENTLY,0.135
