COUNTYFP,STATE,MODE_USAGE,MASK_FREQ,RESPONSE
1001,Alabama,ALWAYS,NEVER,0.053
1001,Alabama,ALWAYS,RARELY,0.074
1001,Alabama,ALWAYS,SOMETIMES,0.134
1001,Alabama,ALWAYS,FREQUENTLY,0.295
1001,Alabama,ALWAYS,ALWAYS,0.444
1003,Alabama,ALWAYS,NEVER,0.083
1003,Alabama,ALWAYS,RARELY,0.059
1003,Alabama,ALWAYS,SOMETIMES,0.098
1003,Alabama,ALWAYS,FREQUENTLY,0.323
1003,Alabama,ALWAYS,ALWAYS,0.436
1005,Alabama,ALWAYS,NEVER,0.067
1005,Alabama,ALWAYS,RARELY,0.121
1005,Alabama,ALWAYS,SOMETIMES,0.12
1005,Alabama,ALWAYS,FREQUENTLY,0.201
1005,Alabama,ALWAYS,ALWAYS,0.491
1007,Alabama,ALWAYS,NEVER,0.02
1007,Alabama,ALWAYS,RARELY,0.034
1007,Alabama,ALWAYS,SOMETIMES,0.096
1007,Alabama,ALWAYS,FREQUENTLY,0.278
1007,Alabama,ALWAYS,ALWAYS,0.572
1009,Alabama,ALWAYS,NEVER,0.053
1009,Alabama,ALWAYS,RARELY,0.114
1009,Alabama,ALWAYS,SOMETIMES,0.18
1009,Alabama,ALWAYS,FREQUENTLY,0.194
1009,Alabama,ALWAYS,ALWAYS,0.459
1011,Alabama,ALWAYS,NEVER,0.031
1011,Alabama,ALWAYS,RARELY,0.04
1011,Alabama,ALWAYS,SOMETIMES,0.144
1011,Alabama,ALWAYS,FREQUENTLY,0.286
1011,Alabama,ALWAYS,ALWAYS,0.5
1013,Alabama,ALWAYS,NEVER,0.102
1013,Alabama,ALWAYS,RARELY,0.053
1013,Alabama,ALWAYS,SOMETIMES,0.257
1013,Alabama,ALWAYS,FREQUENTLY,0.137
1013,Alabama,ALWAYS,ALWAYS,0.451
1015,Alabama,ALWAYS,NEVER,0.152
1015,Alabama,ALWAYS,RARELY,0.108
1015,Alabama,ALWAYS,SOMETIMES,0.13
1015,Alabama,ALWAYS,FREQUENTLY,0.167
1015,Alabama,ALWAYS,ALWAYS,0.442
1017,Alabama,ALWAYS,NEVER,0.117
1017,Alabama,ALWAYS,RARELY,0.037
1017,Alabama,ALWAYS,SOMETIMES,0.15
1017,Alabama,ALWAYS,FREQUENTLY,0.136
