date,state,fips,cases,deaths,mask_freq,population,cbp,days
3/17/20,Alabama,1,39,0,Moderate,"4,934,193",0.079040281,57
3/17/20,Alaska,2,6,0,Moderate,"724,357",0.082832084,57
3/17/20,Arizona,4,20,0,Moderate,"7,520,103",0.02659538,57
3/17/20,Arkansas,5,22,0,Moderate,"3,033,946",0.072512827,57
3/17/20,California,6,732,14,High,"39,613,493",0.184785522,57
3/17/20,Colorado,8,183,3,Moderate,"5,893,634",0.310504521,57
3/17/20,Connecticut,9,68,0,High,"3,552,821",0.191397202,57
3/17/20,Delaware,10,16,0,High,"990,334",0.161561655,57
3/17/20,District of Columbia,11,31,0,High,"714,153",0.434080652,57
3/17/20,Florida,12,210,6,Moderate,"21,944,577",0.095695624,57
3/17/20,Georgia,13,142,1,Moderate,"1,083,007",1.311164194,57
3/17/20,Hawaii,15,14,0,High,"1,406,430",0.099542814,57
3/17/20,Idaho,16,9,0,Poor,"1,860,123",0.048383897,57
3/17/20,Illinois,17,159,1,Moderate,"12,569,321",0.12649848,57
3/17/20,Indiana,18,30,2,Moderate,"6,805,663",0.044080937,57
3/17/20,Iowa,19,29,0,Poor,"3,167,974",0.091541155,57
3/17/20,Kansas,20,17,1,Poor,"2,917,224",0.058274579,57
3/17/20,Kentucky,21,26,1,Moderate,"4,480,713",0.058026479,57
3/17/20,Louisiana,22,196,5,Moderate,"4,627,002",0.423600422,57
3/17/20,Maine,23,32,0,Moderate,"1,354,522",0.236245701,57
3/17/20,Maryland,24,57,0,High,"6,912,239",0.082462426,57
3/17/20,Massachusetts,25,218,0,High,"6,912,239",0.315382613,57
3/17/20,Michigan,26,65,0,Moderate,"9,992,427",0.065049262,57
3/17/20,Minnesota,27,60,0,Poor,"5,706,398",0.105145137,57
3/17/20,Mississippi,28,21,0,Moderate,"2,966,407",0.070792713,57
3/17/20,Missouri,29,16,0,Poor,"2,966,407",0.053937305,57
3/17/20,Montana,30,8,0,Poor,"1,085,004",0.073732447,57
3/17/20,Nebraska,31,36,0,Poor,"1,951,996",0.184426607,57
3/17/20,Nevada,32,55,1,Moderate,"3,185,786",0.172641854,57
3/17/20,New Hampshire,33,26,0,Moderate,"1,372,203",0.189476338,57
3/17/20,New Jersey,34,268,3,High,"8,874,520",0.301988164,57
